Lyric,Title,Singer,Emotion,Label
And I'm comin' red like Coke-Cola,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
Miles of windless summer night air,I Love You Always Forever,,Joy,0
"And I remember how we'd play, simply waste the day away
Then we'd say nothing would come between us
Two dreamers",,,Joy,0
My maturity shows when I take these young rappers and I murder their flows,Agony Fires,Army of the Pharaohs,Anger,1
"And it feels good, slowin' down, touch",Better With You,Austin Mahone,Joy,0
How is the weather,Happy Together,The Turtles,Joy,0
"Driven to kill, this is not my will",Evisceration Plague,Cannibal Corpse,fear,3
"If you a real bitch, you gon' feel this",Pull Up,Cardi B,Disgusting,4
No matter how long it takes,We Three Kings,Kirk Franklin,Suprise,5
Baby it sings to me like,Fa La La,Justin Bieber,Joy,0
"Live bitch, why kiss, on my wrist a glowworm (fifty thousand)",Crunk Muzik,The Diplomats,Anger,1
"Straining to survive,",Bloodlands,Cannibal Corpse,fear,3
Than me and Lorenzo rollin' in a Benz-o,Fuck Tha Police,N.W.A.,Anger,1
Break a sweat on the floor,On The Floor,Jennifer Lopez,Joy,0
My way or the highway,Angry White Boy Polka,Weird Al Yankovic,Anger,1
The Brain Removal Device,Brain Removal Device,Cannibal Corpse,fear,3
"Frosty the snowman
Was a jolly happy soul
With a corncob pipe and a button nose
And two eyes made out of coal",Frosty the Snowman,The Ronettes,Joy,0
Is made up on your side,When You're Gone,Avril Lavigne,Sad,2
I see them bloom for me and you,What a Wonderful World,Ledisi,Joy,0
"A whole new world
A new fantastic point of view",A Whole New World,Zayn Malik and Zhavia Ward,Joy,0
Walked in the store what's everybody staring at,I Don't Give a Fuck,Tupac Shakur,Anger,1
No one ever cared if I should live or die,Goodbye to Love,Carpenters,Sad,2
"Many, many years before the time of Christ",In Garden of Gethsemane,Johnny Cash,Suprise,5
Come what may,Blue Bayou,Linda Ronstadt,Sad,2
That bum bitch like to run her mouth,Pull Up,Cardi B,Disgusting,4
Standoff through lowlands eerie silencing,Spikes,Death Grips,Anger,1
Fuck you to I be the motherfucker totin the gun,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
We're happy together,Happy Together,The Turtles,Joy,0
"Fall outta bed
Dizzy in my head",Uncle Cracker,Smile,Joy,0
Sleep better at night when I hit the hay,I Eat a rainbow,Jay Mankita,Joy,0
"Helps my heart beat and my blood flow
I like to eat like a rainbow",I Eat a rainbow,Jay Mankita,Joy,0
Who if He really does exist,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"Fuck you if you skinny bitches, what?! Kyuh
Haha, haha
I got a big fat ass (ass, ass, ass)",Anaconda,Nicki minaj,Disgusting,4
"Too many niggas, not enough hoes",The Spiteful Chant,Kendrick Lamar,Anger,1
"I PUSHED YOUR WIFE IN FRONT OF THE SUBWAY
IT WAS SO CROWDED NO ONE SAW WHO DID IT
THEN I SAW YOU CRYING LIKE A FUCKING PUSSY
GOOD THING SHE NEVER GOT THE CHANCE
TO TELL YOU SHE WAS PREGNANT AGAIn",I Pushed Your Wife In Front Of The Subway,Anal Cunt,Disgusting,4
"Over and over I feast on it's death
It's all gone. I want some more",BABY KILLER,"DEVOURMENT

",Disgusting,4
Bring da motherfuckin' ruckus,Bring da Ruckus,Wu-Tang Clan,Anger,1
"I'm crashing into planes, I crash and stroll",Spikes,Death Grips,Anger,1
"Hand me the trophy, the gold medals and plaques",Hollow Points,Unknown ,Anger,1
"One of them cowboys he starsts to draw,
And I shot him down Lord, He never saw,",Me & My Uncle,Grateful Dead,Suprise,5
And ripping through the softest skin there ever was,Hate to See Your Heart Break,Paramore,Sad,2
"I'm so sick of love songs, so tired of tears",100 Years,Five for Fighting,Sad,2
"And then we lie, beneath a shady tree",Good Day Sunshine,The Beatles,Joy,0
But I have turned into a sinister,Hip Hop Sinister,Hopsin,Anger,1
"Dig a hole, bury yourself, beautiful ditch,",Agony Fires,Army of the Pharaohs,Anger,1
I heard that your dreams came true,100 Years,Five for Fighting,Sad,2
"I lick a shot in the sky,",Agony Fires,Army of the Pharaohs,Anger,1
"Red, orange, yellow, green
The tastiest colors I've ever seen",I Eat a rainbow,Jay Mankita,Joy,0
"Oh, jingle bells, jingle bells
Jingle all the way",,,,
Goes away in the end,Hurt,Johnny Cash,Sad,2
"F*** this fame, that ain't what",Drop the World,Lil Wayne,Anger,1
I think I'll up my high by slittin your throat,Fight Music,D12,Anger,1
He prayed and as a matter of fact He prayed to be spared the death,In Garden of Gethsemane,Johnny Cash,Suprise,5
"I don't waste time, I don't waste time",I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
Once you're used up I'll fuck someone new,All I give a fuck about is fucking sex,Anal Cunt,Disgusting,4
If you're not there,Love Is Like Oxygen,Sweet,Joy,0
And I know that it is love,heal the world,,Joy,0
Deviant by nature this is our habitat,Code of the Slashers,Cannibal Corpse,fear,3
"With the bullshit they pull, 'cause they full of shit too",The Way I Am,Eminem,Anger,1
Streets are uneven when you're down,Bela Lugosi's Dead,Bauhaus,Fear,3
Everything's gonna be okay,I'm a Mess,Bebe Rexha,Sad,2
Colorful foods are healthier too,I Eat a rainbow,Jay Mankita,Joy,0
A fresh poison each week,Take Me to Church,Hozier,Sad,2
Were once just a dream,Mercy Street,Peter Gabriel,Sad,2
And what would you say if I called on you now,All Out of Love,Air Supply,Sad,2
Opening to the sun above,Joyful,Brenton Brown,Joy,0
"I hear her voice
Calling my name",A Forest,The Cure,Fear,3
"I'm like Paulie in Goodfellas, you can call me the Don",Many Men,50 Cent,Anger,1
As your shadow crosses mine,We Found Love,Rihanna,Joy,0
"Nigga right now, it's now or never",The Spiteful Chant,Kendrick Lamar,Anger,1
If you're happy and you know it then your face will surely show it,,Barney,Joy,0
"When a stranger says ""Hello""
And everyone is family, we're havin' so much fun",One More Sleep 'til Christmas,Kermit the Frog and Steve Whitmire,Joy,0
"Rock a ski-mask, whether it's June or February",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
And no one's gonna save you from the beast about to strike,Thriller,Michael Jackson,Fear,3
Fearful when the sky was full of thunder,The Circle Game,Joni Mitchell,Fear,3
We'll stay forever this way,My Heart Will Go On,Celine Dion,Joy,0
"(Uh oh, uh oh, uh oh, oh, no, no) I been realer, the game's over",Crazy in Love,Beyoncé,Joy,0
"Gotta fix that calender I have, that's marked July 15th",100 Years,Five for Fighting,Sad,2
Pretty sure he don't wanna be my baby,I'm a Mess,Bebe Rexha,Sad,2
We'll pick the fruit and take it to town,The Planting Song,Mother Goose Club,Joy,0
Broken pieces of,the lonely,Christina Perri,Sad,2
Plague leads to death,Evisceration Plague,Cannibal Corpse,fear,3
"You were to ugly to rape, so I beat you up","You Were Too Ugly To Rape, So I Just Beat The Shit Out Of You",Anal Cunt,Disgusting,4
"And the night, when the moon is bright",Pet Sematary,Ramones,Fear,3
"But all the while, you hear the creature creeping up behind",Thriller,Michael Jackson,Fear,3
"Fuck at your crib, we don't go to no 'telly
I sit on his face whenever I'm ready (woo)",Press,Cardi B,Disgusting,4
"Every day I swear I need you
With each glace I love you more and more",For a Lifetime,Ryann Darling,Joy,0
"I got a fifth of the Remy, fuck the Belve and Chris",Move Bitch,Ludacris,Anger,1
"He's a god, he's a man
He's a ghost, he's a guru
They're whispering his name
Through this disappearing land
But hidden in his coat
Is a red right hand",Red Right Hand,Nick Cave & The Bad Seeds,Fear,3
If I was drowning you would part the sea,Thank You for Loving Me,Bon Jovi,Joy,0
"This is gonna be the best day of my life
My life",Best day of my live,American Authors,Joy,0
Get up everybody and sing,We Are Family,Sister Sledge,Joy,0
"Killa, he'll kill a nigga you thinkin' harming me",Crunk Muzik,The Diplomats,Anger,1
Feel the heartbeat in my mind,We Found Love,Rihanna,Joy,0
"It's just me, myself and I",Hip Hop Sinister,Hopsin,Anger,1
"She works hard for the money
So you better treat her right",Sugar,Maroon 5,Suprise,5
I like to eat like a rainbow,I Eat a rainbow,Jay Mankita,Joy,0
"Darling this is a must
We'll be so happy",I Build This Garden for Us,Lenny Kravitz,Joy,0
Who'll Bring us life,Hallelujah,BarlowGirl,Joy,0
You can listen to the engines moanin' out his one old song,Turn the Page,Metallica,Sad,2
Got me looking so crazy right now (lookin' crazy),Crazy in Love,Beyoncé,Joy,0
"I'm a mess for your love, it ain't new",I'm a Mess,Bebe Rexha,Sad,2
"Come back, be here",Come Back...Be Here,Taylor Swift,Sad,2
"You know you love me
I know you care
Just shout whatever
And i'll be there
You are my love
You are my heart",Baby,Justin Bieber,Joy,0
"My semen is bleeding
The smell of decay
Seeps from her genital cavity
The smell was unbearable as I unburied her"," I Cum Blood

","Cannibal Corpse

",Disgusting,4
Young buck got struck with the gun butt (for what?),Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"Hop up in my spaceship and leave Earth, Motherf***er",Drop the World,Lil Wayne,Anger,1
I don't get to be alright,sex money feelings die,Lykke Li,Sad,2
I don't know if they fags or what,Fuck Tha Police,N.W.A.,Anger,1
Call me out on tracks then bitch I'll pound on you,Hip Hop Sinister,Hopsin,Anger,1
And watch her where she goes,The Prayer,Celine Dion,Suprise,5
Niggas is watered down fuck it,Hip Hop Sinister,Hopsin,Anger,1
"Without you, I feel torn",Sad Song,We The Kings,Sad,2
Hold up a picture of his family and kick it at him,Fight Music,D12,Anger,1
"through her hole, came swollen organs",Addicted to Vaginal Skin,Cannibal Corpse,fear,3
"How I'd love love love
To dance with my father again",Dance with My Father,Luther Vandross,Joy,0
"Dead, unburied, and rotten.","Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
You're all I need to turn my world,You are all I need,White Lion,Joy,0
The music you were playin' really blew my mind,Love at First Sight,Kylie Minogue,Joy,0
I died a little bit inside,All I want,Joni Mitchell,Sad,2
I'm surprised it got so,In the End,Linkin Park,Suprise,5
"I loved you for so long, sometimes it's hard to bear","I Like You So Much, You'll Know It",Honey Jemlan,Fear,3
"Hanging by a thread above them
Taken here to die",Pit of Zombies,Cannibal Corpse,Fear,3
I come alive in the darkness.,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
Through an endless diamond sky,A Whole New World,Zayn Malik and Zhavia Ward,Joy,0
"Slowly turning me, into a flesh eating zombie
Knowing this spell can only be broken
by the vaginal skins of young women
I proceed to find the meat
their bleeding cunts will set me free
Warmth seeping from this
Body",Addicted to Vaginal Skin,Cannibal Corpse,Disgusting,4
While Dr. Dre videotapes you (hell yeah!),Fight Music,D12,Anger,1
Yeah (yeah) yeah (yeah) yeah (yeah),Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"I invented violence, you vile venomous volatile vicious",Kill You,Eminem,Anger,1
Cause Jesus is love.,Jesus Is Love,Commodores,Joy,0
"Well, it's twinkle, twinkle little star
Along came Brady in his 'lectric car
Got a mean look right in his eye
Gonna shoot somebody just to see him die",Duncan and Brady,New Riders of the Purple Sage,Suprise,5
Cause that's just the way she was,Kill You,Eminem,Anger,1
"I got ice in my veins, blood in my eyes",Drop the World,Lil Wayne,Anger,1
From fat bitch to all seventy thousand pounds of her,Kill You,Eminem,Anger,1
"
The longer I live the more I'm dying to feel the pain",Eaten,Infant Annihilator,Fear,3
I'm half a heart without you,Half a Heart,One Direction,Sad,2
My dad can't satisfy her in the bedroom ever since he passed away.,Motherlover,Justin Timberlake and Andy Samberg,Suprise,5
Than have my heart in pieces,Born Without a Heart,Faouzia,Suprise,5
Please come back now,You are the reason,Calum Scott,Fear,3
July is dressed up and playing her tune,Summer Breeze,Dash Crofts and Seals,Joy,0
Angry White Boy Polka,Angry White Boy Polka,Weird Al Yankovic,Anger,1
Know that it's Christmas time,Fa La La,Justin Bieber,Joy,0
The youth of the nation,Angry White Boy Polka,Weird Al Yankovic,Anger,1
Falling from the stars,Wake Me Up When September Ends,Green Day,Sad,2
Ain't nothing I can do,Maps,Maroon 5,Sad,2
And check out the man he goes by the name of er,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
Do you ever miss my love,Do you ever,Justin Vasquez,Sad,2
"Can't stop, never sleep, cause you know",Unknown,Unknown,Anger,1
You gettin' knocked the fuck out like Mike Tyson,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"Oh, there's nothing on the radio when you're dead",Surfin' Dead, The Cramps,Fear,3
"Eeny, meeny, miny, moe (no)
I catch a ho right by her toe (",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
"What will your daddy do
When he sees your mama kissin' Santa Claus?",Merry Xmas Everybody,Slade,Joy,0
"Tis the season to be jolly and Joyous
With a burst of pleasure we feel it all right",One More Sleep 'til Christmas,Kermit the Frog and Steve Whitmire,Joy,0
"Huh, a young nigga on the warpath",Fuck Tha Police,N.W.A.,Anger,1
"Help me, I'm not dead",Staring Through the Eyes of the Dead,Cannibal Corpse,fear,3
"Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story baby just say ""Yes""",love story,taylor swift,Joy,0
"When the stars go blue, blue",When the Stars Go Blue,The Corrs,Sad,2
Shit not even my bed sheets,Hip Hop Sinister,Hopsin,Anger,1
"I'll plant a garden in the yard, then",Garden Song,Phoebe Bridgers,Joy,0
Red lights to keep you sighted My shit on the rising,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
"Goes out, to everyone, that has lost someone
That they truly loved ",I'll Be Missing You,Faith Evans and Sean Combs,Suprise,5
How much shit can a nigga take,I Don't Give a Fuck,Tupac Shakur,Anger,1
It seems no one can help me now,Runaway Train,Soul Asylum,Sad,2
"No, I'll never love again",I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
Now I'm stuck out here and the world forgot,Astronaut,Simple Plan,Sad,2
"Now it's so sad to see, an upper-class city havin' this happening",The Way I Am,Eminem,Anger,1
All my delight is in You Lord forever more,None But Jesus,Hillsong UNITED,Suprise,5
With that Brownsville mentality to Shanghai,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"Siquia:other times we don't get along,
there are even times we fight",Barney Theme Song,Barney,Joy,0
"Happy ever after in the market place And if you want some fun, sing ob-la-di, bla-da
Desmond lets the children lend a hand
Molly stays at home and does her pretty face
And in the evening she still sings it with the band","Ob-La-Di, Ob-La-Da",The Beatles,Joy,0
The form of the fourth is like the Son of God,In Garden of Gethsemane,Johnny Cash,Suprise,5
I want to die lying in my arms,I Wanna Grow Old With You,Westlifes,Fear,3
I didn't think you'd be gone this long,Lonely,Akon,Sad,2
"It's not about the money, money, money",Price Tag,Jessie J,Disgusting,4
"nd the melody that He gave to me
Within my heart is ringing",In the Garden, Brad Paisley,Joy,0
"To make moves again, stomp and bruise again",Get It On The Floor,DMX,Anger,1
I'm sellin' shit up in the club like I work in the bitch,Move Bitch,Ludacris,Anger,1
Every Sunday's getting more bleak,Take Me to Church,Hozier,Sad,2
An empty street,My Love,Westlifes,Sad,2
I'm getting paid for my traid but its still real,I Don't Give a Fuck,Tupac Shakur,Anger,1
